# Configuration: 2025 Pack (Pack 110S4P)
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],OCV [V],Temperature [°C],Heat Generation [W],Cooling Power [W],Resistive Heat [W],Reversible Heat [W],Hysteresis Heat [W]
668.9000000000001,438.12075276999946,83.52430914679422,-5927.700000000564,-13.529831587577027,-2.965624353577039,444.6000882380409,28.19524763528251,57.171955375815486,0,87.66431768201518,-42.58381297433628,12.091450668136591
669,438.0109220762285,83.52215344840339,-6196.2,-14.14622258876379,-2.966012379287392,444.59799017219785,28.195509901556587,61.302143449412306,0,93.18213149292707,-44.52306505417944,12.64307701066467
669.1,437.92550418735374,83.51994848731937,-6403.2,-14.6216649607614,-2.9664092722825126,444.5958442291,28.19578156149155,64.58165967366998,0,97.53147726476472,-46.01862505231157,13.06880746121684
669.2,437.88075116384954,83.51764965566123,-6507.5,-14.861352052364992,-2.9668230619809783,444.59360702586883,28.196071817543757,66.27388708314751,0,99.76211424225073,-46.7721200570397,13.283892897936479
669.3000000000001,437.5866422319816,83.51530850212136,-7210.8000000017855,-16.478565166482074,-2.967244469618156,444.59132870976845,28.196370882533326,78.2967089957548,0,115.42718259498665,-51.860882940771695,14.73040934153985
669.4000000000001,437.24220774192213,83.5125544346898,-8014.700000000042,-18.330115112607423,-2.967740201755836,444.58864889961313,28.196760591049777,93.36114445581651,0,134.6611120884727,-57.6867522066327,16.386784573976506
669.5,437.1554664975414,83.50970652159047,-8194.1,-18.744132529442098,-2.968252826113714,444.58587791332394,28.197172858885462,97.04648455993078,0,139.27661632570738,-58.98835859638964,16.75822683061302
669.6,437.1752431319789,83.50679219544983,-8114.7,-18.5616640637408,-2.9687774048190305,444.58304243597905,28.197601968966556,95.68474630822998,0,137.5010821324637,-58.412759247297515,16.59642342306377
669.7,437.20705811393685,83.50397972108668,-8011.699999999999,-18.3247270402303,-2.9692836502043987,444.58030606463774,28.198007363075007,93.83277290495326,0,135.11275609653126,-57.66582598212872,16.38584279055073
669.8000000000001,436.7840240678639,83.5010396559112,-8996.100000001925,-20.59622033841646,-2.9698128619359836,444.57744572859434,28.198444654528785,114.12108489964415,0,160.51502971459058,-64.81242869328138,18.418483878334936
669.9000000000001,436.5236536941362,83.49765922730771,-9568.199999999377,-21.919087130851405,-2.970421339084613,444.5740503195015,28.198997836130502,127.08799824658033,0,176.4573450692949,-68.9734370318824,19.60409020916784
670,436.61789638567717,83.49434997760137,-9293.799999999997,-21.28588882163116,-2.9710170040317516,444.5706798693264,28.19953308390342,121.3434178267265,0,169.28206505546117,-66.9792389100164,19.04059168128173
670.1,436.4692996895013,83.49103751895072,-9602.5,-22.000401876675166,-2.9716132465888707,444.56730624179283,28.20007075085487,128.6162448217921,0,178.15939855036166,-69.22580881208019,19.68265508351064
