rpm,command_nm,delivered_nm,n_samples
2600.0,60.0,60.0,66
2600.0,65.0,65.0,54
2600.0,70.0,70.0,76
2600.0,75.0,72.46484,30
2600.0,80.0,77.74249032258065,31
2600.0,85.0,83.86108425925926,108
2700.0,0.0,0.0,81
2700.0,5.0,5.0,124
2700.0,10.0,10.0,143
2700.0,15.0,15.0,260
2700.0,20.0,20.0,394
2700.0,25.0,25.0,363
2700.0,30.0,30.0,279
2700.0,35.0,35.0,273
2700.0,40.0,40.0,160
2700.0,45.0,45.0,200
2700.0,50.0,50.0,122
2700.0,55.0,55.0,73
2700.0,60.0,59.84187547169812,53
2700.0,65.0,64.92625098039217,51
2700.0,70.0,69.48012549019606,51
2700.0,75.0,72.96802857142858,28
2700.0,80.0,80.0,29
2700.0,85.0,82.47419844961239,129
2800.0,0.0,0.0,114
2800.0,5.0,5.0,149
2800.0,10.0,10.0,209
2800.0,15.0,15.0,236
2800.0,20.0,20.0,423
2800.0,25.0,25.0,635
2800.0,30.0,30.0,513
2800.0,35.0,35.0,344
2800.0,40.0,40.0,239
2800.0,45.0,45.0,113
2800.0,50.0,48.61851121495326,107
2800.0,55.0,53.03948829787233,94
2800.0,60.0,53.849677631578935,76
2800.0,65.0,59.25823181818181,66
2800.0,70.0,60.14091555555557,45
2800.0,75.0,63.44055384615384,39
2800.0,80.0,65.89567999999998,35
2800.0,85.0,70.48070662983423,181
2900.0,0.0,0.0,20
2900.0,5.0,5.0,29
2900.0,10.0,10.0,66
2900.0,15.0,15.0,130
2900.0,20.0,19.547814285714278,196
2900.0,25.0,21.411228078817725,406
2900.0,30.0,24.164448640483403,331
2900.0,35.0,25.179327704485505,379
2900.0,40.0,26.060470344827575,290
2900.0,45.0,28.981488973384028,263
2900.0,50.0,28.981488973384028,218
2900.0,55.0,30.132918309859154,213
2900.0,60.0,30.132918309859154,129
2900.0,65.0,30.132918309859154,103
2900.0,70.0,30.132918309859154,121
2900.0,75.0,33.04463278688526,61
2900.0,80.0,33.38316724137931,58
2900.0,85.0,35.84207105263162,266
3000.0,0.0,0.0,0
3000.0,5.0,5.0,0
3000.0,10.0,10.0,0
3000.0,15.0,15.0,0
3000.0,20.0,19.547814285714278,0
3000.0,25.0,21.411228078817725,0
3000.0,30.0,24.164448640483403,0
3000.0,35.0,25.179327704485505,0
3000.0,40.0,26.060470344827575,0
3000.0,45.0,28.981488973384028,0
3000.0,50.0,28.981488973384028,0
3000.0,55.0,30.132918309859154,0
3000.0,60.0,30.132918309859154,0
3000.0,65.0,30.132918309859154,0
3000.0,70.0,30.132918309859154,0
3000.0,75.0,33.04463278688526,0
3000.0,80.0,33.38316724137931,0
3000.0,85.0,35.84207105263162,0
